Section,Gate,Item,Why,Evidence,Covers,Tier 1,Tier 2,Tier 3,Applies to,More info
Design & decisions,G1,Assign & justify a criticality tier,Decides which guardrails apply and right-sizes cost — don't over- or under-build.,Tier + written rationale in the ServiceNow readiness record and an ADR.,,Must,Must,Must,All,../../principles/criticality-tiers/
Design & decisions,G1,"Capture non-functional requirements (RTO/RPO, performance)",NFRs drive design and cost and are the thing most often missed.,Completed NFR worksheet in the repo.,,Must,Must,Should,All,../../design-build/nfrs/
Design & decisions,G1,Record architecture decisions (ADRs) + architecture diagram,"Decisions must be traceable, not just diagrammed.",/adr folder + diagram in the repo.,,Must,Must,Should,All,../../starters/#architecture-decision-record-adr
Design & decisions,G1,Threat model + STRA (and PIA if personal information),"Security & privacy risk must be assessed before build, not at go-live.",STRA (+PIA) reference and status.,,Must,Must,Should,All,../../design-build/security-privacy/
Design & decisions,G1,Solution & interface documentation,Support needs the whole solution; old-vs-new must be traceable; dependencies visible.,Living solution doc + changelog + integrations. In-house = Must; COTS = link the vendor's changelog.,Solution doc · changelog / release notes · integrations & dependencies,Must,Must,Should,All,../../readiness/production-readiness-review/
Design & decisions,G1,Accessibility by design (WCAG 2.2 AA),Legally required for public-facing services (Accessible BC Act); expected internally.,Accessibility conformance assessment against WCAG 2.2 AA.,,Must,Must,Should,All,https://www.w3.org/WAI/WCAG22/quickref/
Design & decisions,G1,Secure operating funding,Funding must be secured before the project starts; no funded support = no go-live.,Operating-cost estimate + Expense Authority approval + funded support model.,Cost estimate · EA approval · funded support model,Must,Must,Should,All,../../readiness/production-readiness-review/
Build & pipeline,G2,Use the standard CI/CD pipeline (BC Gov Quick Start template),One compliant pipeline bakes in everything below — don't reinvent it as 14 separate items.,"Repo on the Quick Start template, or GitHub Actions containing these stages.",Build · unit/integration tests · SAST · SCA · secret scan · image scan · SBOM · signing · provenance · DAST · licence check · dependency currency · signed commits · branch protection,Must,Must,Must,All,../../design-build/cicd-devsecops/
Build & pipeline,G2,Enforce test coverage & test strategy,Coverage decays without a gate; contract tests protect integrations.,Coverage gate — in-house 85% (T1/T2); COTS/contracted = report only.,Coverage gate · unit / integration / contract tests · UAT · test data,Must,Must,Should,All,../../design-build/cicd-devsecops/#the-mandatory-pipeline-attributes
Build & pipeline,G2,Externalise configuration & secrets; deploy via IaC / GitOps,Config in images or changed by hand causes drift; secrets never belong in code.,Config per environment + managed secrets store ({{SECRETS}}) + IaC in the repo.,Externalised config · managed secrets · IaC · GitOps,Must,Must,Should,All,../../design-build/cicd-devsecops/
Build & pipeline,G2,Follow Salesforce build practices,"Salesforce enforces hard per-transaction limits and deploys metadata, not containers.",Bulkified code + documented sandbox & deployment path.,Governor limits / bulkification · sandbox & deployment strategy,Must,Must,Should,Salesforce,
Resilience & performance,G3,"Build a resilient, 12-factor application",Infrastructure is only ~half of resilience — the application itself must be built for it.,Conformance to the BC Gov app-resiliency guidelines / 12-factor.,Stateless · timeouts & retries with backoff · idempotency · circuit breakers · graceful shutdown · health probes · >=2 replicas / PDB · resource limits / HPA · zero-downtime + progressive delivery,Must,Must,Should,All,https://developer.gov.bc.ca/docs/default/component/platform-developer-docs/docs/automation-and-resiliency/app-resiliency-guidelines/
Resilience & performance,G3,Prove resilience & performance,Peak load and failure are where apps fall over — prove it before users do.,Load/performance test to peak + chaos/failover test + capacity/autoscaling validation.,Load / peak test · chaos / failover test · capacity & autoscaling validation,Must,Should,Optional,All,../../design-build/application-resilience/
Data & DR,G3,Data governance,"Someone must own quality, definitions and access; classification drives controls.",Classification + named Data Owner/Steward/Custodian + Data Interoperability engaged.,Data classification · Owner / Steward / Custodian · Data Interoperability,Must,Must,Should,All,../../design-build/data-management/
Data & DR,G3,Data lifecycle (retention / archival / deletion),Data can't grow forever; retention is legal / FOIPPA-driven.,Retention/archival/deletion schedule implemented in the app.,,Must,Must,Should,All,../../design-build/data-management/#5-retention-archival-deletion
Data & DR,G3,Backups & disaster recovery,An untested backup is not a backup; you only know your RTO once you've failed over.,HA data layer + tested restore (meets RPO) + DR/failover tested (Tier 1).,HA data layer · tested restore (RPO) · DR / failover (RTO),Must,Must,Should,All,../../design-build/application-resilience/#11-resilient-data-layer
Observability,G3,Monitoring & logging,You can't operate what you can't see.,Metrics + dashboards ({{MONITOR}}) + structured logs with trace IDs ({{LOGS}}) + tracing.,Metrics & dashboards · structured logs · distributed tracing,Must,Must,Should,All,../../design-build/observability/
Observability,G3,SLOs & alerting,Alerts with no SLO or owner are just noise.,SLIs/SLOs defined + actionable alerts routed to the on-call owner.,,Must,Should,Optional,All,../../design-build/observability/
Security & access,G3,Authentication & access,Use approved SSO; least-privilege RBAC; a defined access process.,IDIR/Keycloak/BC Services Card + RBAC + access-management process (approvers/support).,SSO (IDIR / Keycloak / BCSC) · RBAC · access-management process,Must,Must,Must,All,../../design-build/security-privacy/
Security & access,G3,API management — use APS,"Govern endpoints centrally: auth, rate limiting/throttling, and versioning.","APS (gov API gateway) config; versioned, backward-compatible API.",API gateway (APS) · rate limiting / throttling · versioning & backward compatibility,Must,Should,Optional,All,
Security & access,G3,Data protection & privacy,"Encrypt data, keep it in an approved region, and design for privacy (FOIPPA).",TLS in transit + at-rest encryption + data residency + privacy-by-design notes.,Encryption in transit & at rest · data residency (in-Canada) · privacy-by-design,Must,Must,Should,All,../../design-build/security-privacy/
Security & access,G3,Security testing & vulnerability management,Independent testing catches what the pipeline misses; findings need a fix-by clock.,Penetration test (orderable service) + TLS scan + owned vulnerability-management SLAs.,Penetration test · TLS scan · vulnerability-management SLAs,Must,Should,Optional,All,../../design-build/security-privacy/#5-vulnerability-management
Operability & support,G3,Runbook & funded support model,"Someone who didn't build it must be able to operate it, and support must be funded.",Runbook (deploy/rollback/restart/failures/escalation) + agreed on-call/support hours.,Runbook · on-call / support model & hours,Must,Must,Should,All,../../starters/#runbook
Operability & support,G3,Register & manage change,The CMDB is where apps are tracked; change needs control and a rollback authority.,CMDB CI + change/release process + named rollback authority.,CMDB registration · change / release management · rollback authority,Must,Must,Should,All,../../reference/servicenow-process/
Operability & support,G3,Service Desk & handover,The front line takes the calls; defects and training must transfer.,Service Desk enabled (script/KB/escalation) + defect tombstone list + user docs/training.,Service Desk · defect tombstone list · user docs & training,Must,Must,Should,All,../../readiness/production-readiness-review/
Operability & support,G3,Decommission / end-of-life plan,"Apps without a retirement plan become zombie risk (orphaned data, expiring certs).","Decommission plan: data disposition, teardown steps, named owner.",,Must,Should,Should,All,
Vendor (contractual),G3,Vendor SOW deliverables (single checklist),"If it isn't in the contract, the vendor isn't obliged to do it.","SOW listing coverage %, SBOM, runbook, support terms, SLA, third-party support agreements, maintenance terms.",Coverage % · SBOM · runbook · support terms · SLA · third-party support · maintenance terms,Must,Must,Must,Vendor-built,../../readiness/production-readiness-review/#9-contractual-vendor-built
